Plurality given: 3
Sample: 0001-2    Model: 1, 0    Function: 1, 0
Sample: 0001-3    Model: 1, 0    Function: 1, 0
Sample: 0001-5    Model: 1, 0    Function: 1, 0
Sample: 0001-6    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0001-9    Model: 2, 0    Function: 2, 0
Sample: 0001-10    Model: 2, 0    Function: 2, 0
Sample: 0001-11    Model: 2, 0    Function: 2, 0
Sample: 0001-12    Model: 2, 0    Function: 2, 0
Sample: 0002-1    Model: 1, 0    Function: 1, 0
Sample: 0002-2    Model: 1, 0    Function: 1, 0
Sample: 0002-3    Model: 1, 0    Function: 1, 0
Sample: 0002-4    Model: 1, 0    Function: 1, 0
Sample: 0002-5    Model: 1, 0    Function: 1, 0
Sample: 0002-6    Model: 1, 0    Function: 1, 0
Sample: 0003-2    Model: 2, 0    Function: 2, 0
Sample: 0003-3    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0003-4    Model: 4, 0    Function: 4, 0
Sample: 0004-1    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0004-2    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0004-3    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0004-4    Model: 4, 1    Function: 4, 1
Sample: 0004-6    Model: 4, 1    Function: 4, 1
Sample: 0005-1    Model: 4, 1    Function: 4, 1
Sample: 0005-2    Model: 4, 0    Function: 4, 0
Sample: 0005-3    Model: 2, 0    Function: 2, 0
Sample: 0005-4    Model: 2, 0    Function: 2, 0
Sample: 0005-5    Model: 2, 0    Function: 2, 0
Sample: 0005-6    Model: 2, 0    Function: 2, 0
Sample: 0006-1    Model: 4, 1    Function: 4, 1
Sample: 0006-2    Model: 4, 1    Function: 4, 1
Sample: 0006-3    Model: 2, 0    Function: 2, 0
Sample: 0006-4    Model: 2, 0    Function: 2, 0
Sample: 0006-5    Model: 2, 0    Function: 2, 0
Sample: 0006-6    Model: 2, 0    Function: 2, 1 ------ DOES NOT MATCH
Sample: 0007-1    Model: 2, 0    Function: 2, 0
Sample: 0007-2    Model: 2, 0    Function: 2, 0
Sample: 0007-3    Model: 2, 0    Function: 2, 0
Sample: 0008-1    Model: 4, 0    Function: 4, 0
Sample: 0008-2    Model: 2, 0    Function: 2, 0
Sample: 0008-3    Model: 2, 1    Function: 2, 1
Sample: 0009-1    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0009-2    Model: 1, 0    Function: 1, 0
Sample: 0009-3    Model: 1, 0    Function: 1, 0
Sample: 0010-1    Model: 1, 0    Function: 1, 0
Sample: 0010-2    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0010-3    Model: 1, 0    Function: 1, 0
Sample: 0010-4    Model: 1, 0    Function: 1, 0
Sample: 0010-5    Model: 1, 1    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0010-6    Model: 1, 0    Function: 1, 0
Sample: 0011-2    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0011-3    Model: 2, 0    Function: 2, 0
Sample: 0011-4    Model: 2, 0    Function: 2, 0
Sample: 0011-5    Model: 2, 0    Function: 2, 0
Sample: 0011-6    Model: 2, 0    Function: 2, 0
Sample: 0012-1    Model: 1, 0    Function: 1, 0
Sample: 0012-2    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0012-3    Model: 1, 0    Function: 1, 0
Sample: 0012-4    Model: 1, 0    Function: 1, 0
Sample: 0012-5    Model: 1, 0    Function: 1, 0
Sample: 0012-6    Model: 1, 0    Function: 1, 0
Sample: 0013-1    Model: 1, 0    Function: 1, 0
Sample: 0013-2    Model: 1, 0    Function: 1, 0
Sample: 0013-3    Model: 1, 0    Function: 1, 0
Sample: 0013-4    Model: 1, 0    Function: 1, 0
Sample: 0013-5    Model: 1, 0    Function: 1, 0
Sample: 0013-6    Model: 1, 0    Function: 1, 0
Sample: 0014-1    Model: 2, 1    Function: 2, 1
Sample: 0014-2    Model: 2, 1    Function: 2, 1
Sample: 0014-3    Model: 2, 1    Function: 2, 1
Sample: 0014-4    Model: 4, 1    Function: 4, 1
Sample: 0015-1    Model: 1, 0    Function: 1, 0
Sample: 0015-2    Model: 1, 0    Function: 1, 1 ------ DOES NOT MATCH
Sample: 0015-3    Model: 1, 0    Function: 1, 0
Sample: 0015-4    Model: 1, 0    Function: 1, 0
Sample: 0015-5    Model: 1, 0    Function: 1, 0
Sample: 0015-6    Model: 1, 0    Function: 1, 0
Sample: 0016-1    Model: 2, 0    Function: 2, 0
Sample: 0016-2    Model: 2, 0    Function: 2, 0
Sample: 0016-3    Model: 2, 0    Function: 2, 0
Sample: 0016-4    Model: 2, 0    Function: 2, 0
Sample: 0016-5    Model: 2, 0    Function: 2, 0
Sample: 0016-6    Model: 2, 0    Function: 2, 0
Sample: 0017-1    Model: 1, 0    Function: 1, 0
Sample: 0017-2    Model: 1, 0    Function: 1, 0
Sample: 0017-3    Model: 1, 0    Function: 1, 0
Sample: 0017-4    Model: 1, 0    Function: 1, 0
Sample: 0017-5    Model: 1, 0    Function: 1, 0
Sample: 0017-6    Model: 1, 0    Function: 1, 0
